Municipality,Age_Group,Background,Year,Sex,Population
Akrahreppur,0-15,Immigrants,2011,Females,19
Akrahreppur,0-15,Immigrants,2011,Males,23
Akrahreppur,0-15,Immigrants,2021,Females,34
Akrahreppur,0-15,Immigrants,2021,Males,43
Akrahreppur,0-15,Natives,2011,Females,2055
Akrahreppur,0-15,Natives,2011,Males,2175
Akrahreppur,0-15,Natives,2021,Females,1903
Akrahreppur,0-15,Natives,2021,Males,2018
Akrahreppur,16-24,Immigrants,2011,Females,48
Akrahreppur,16-24,Immigrants,2011,Males,30
Akrahreppur,16-24,Immigrants,2021,Females,60
Akrahreppur,16-24,Immigrants,2021,Males,61
Akrahreppur,16-24,Natives,2011,Females,1150
Akrahreppur,16-24,Natives,2011,Males,1185
Akrahreppur,16-24,Natives,2021,Females,1111
Akrahreppur,16-24,Natives,2021,Males,1204
Akrahreppur,25-34,Immigrants,2011,Females,100
Akrahreppur,25-34,Immigrants,2011,Males,70
Akrahreppur,25-34,Immigrants,2021,Females,187
Akrahreppur,25-34,Immigrants,2021,Males,181
Akrahreppur,25-34,Natives,2011,Females,1007
Akrahreppur,25-34,Natives,2011,Males,1021
Akrahreppur,25-34,Natives,2021,Females,1013
Akrahreppur,25-34,Natives,2021,Males,1084
Akrahreppur,35-44,Immigrants,2011,Females,78
Akrahreppur,35-44,Immigrants,2011,Males,65
Akrahreppur,35-44,Immigrants,2021,Females,169
Akrahreppur,35-44,Immigrants,2021,Males,152
Akrahreppur,35-44,Natives,2011,Females,1119
Akrahreppur,35-44,Natives,2011,Males,1032
Akrahreppur,35-44,Natives,2021,Females,1028
Akrahreppur,35-44,Natives,2021,Males,955
Akrahreppur,45-54,Immigrants,2011,Females,61
Akrahreppur,45-54,Immigrants,2011,Males,41
Akrahreppur,45-54,Immigrants,2021,Females,97
Akrahreppur,45-54,Immigrants,2021,Males,98
Akrahreppur,45-54,Natives,2011,Females,1147
Akrahreppur,45-54,Natives,2011,Males,1104
Akrahreppur,45-54,Natives,2021,Females,1150
Akrahreppur,45-54,Natives,2021,Males,1065
Akrahreppur,55-64,Immigrants,2011,Females,26
Akrahreppur,55-64,Immigrants,2011,Males,22
Akrahreppur,55-64,Immigrants,2021,Females,62
Akrahreppur,55-64,Immigrants,2021,Males,53
Akrahreppur,55-64,Natives,2011,Females,957
Akrahreppur,55-64,Natives,2011,Males,947
Akrahreppur,55-64,Natives,2021,Females,1061
Akrahreppur,55-64,Natives,2021,Males,1038
Akrahreppur,65 and over,Immigrants,2011,Females,35
Akrahreppur,65 and over,Immigrants,2011,Males,15
Akrahreppur,65 and over,Immigrants,2021,Females,46
Akrahreppur,65 and over,Immigrants,2021,Males,29
Akrahreppur,65 and over,Natives,2011,Females,1256
Akrahreppur,65 and over,Natives,2011,Males,1035
Akrahreppur,65 and over,Natives,2021,Females,1566
Akrahreppur,65 and over,Natives,2021,Males,1453
Akraneskaupstadur,0-15,Immigrants,2011,Females,7
Akraneskaupstadur,0-15,Immigrants,2011,Males,7
Akraneskaupstadur,0-15,Immigrants,2021,Females,12
Akraneskaupstadur,0-15,Immigrants,2021,Males,15
Akraneskaupstadur,0-15,Natives,2011,Females,379
Akraneskaupstadur,0-15,Natives,2011,Males,436
Akraneskaupstadur,0-15,Natives,2021,Females,332
Akraneskaupstadur,0-15,Natives,2021,Males,379
Akraneskaupstadur,16-24,Immigrants,2011,Females,14
Akraneskaupstadur,16-24,Immigrants,2011,Males,5
Akraneskaupstadur,16-24,Immigrants,2021,Females,16
Akraneskaupstadur,16-24,Immigrants,2021,Males,14
Akraneskaupstadur,16-24,Natives,2011,Females,262
Akraneskaupstadur,16-24,Natives,2011,Males,301
Akraneskaupstadur,16-24,Natives,2021,Females,130
Akraneskaupstadur,16-24,Natives,2021,Males,195
Akraneskaupstadur,25-34,Immigrants,2011,Females,24
Akraneskaupstadur,25-34,Immigrants,2011,Males,15
Akraneskaupstadur,25-34,Immigrants,2021,Females,74
Akraneskaupstadur,25-34,Immigrants,2021,Males,77
Akraneskaupstadur,25-34,Natives,2011,Females,219
Akraneskaupstadur,25-34,Natives,2011,Males,263
Akraneskaupstadur,25-34,Natives,2021,Females,178
Akraneskaupstadur,25-34,Natives,2021,Males,182
Akraneskaupstadur,35-44,Immigrants,2011,Females,23
Akraneskaupstadur,35-44,Immigrants,2011,Males,22
Akraneskaupstadur,35-44,Immigrants,2021,Females,42
Akraneskaupstadur,35-44,Immigrants,2021,Males,40
Akraneskaupstadur,35-44,Natives,2011,Females,188
Akraneskaupstadur,35-44,Natives,2011,Males,192
Akraneskaupstadur,35-44,Natives,2021,Females,171
Akraneskaupstadur,35-44,Natives,2021,Males,169
Akraneskaupstadur,45-54,Immigrants,2011,Females,11
Akraneskaupstadur,45-54,Immigrants,2011,Males,14
Akraneskaupstadur,45-54,Immigrants,2021,Females,33
Akraneskaupstadur,45-54,Immigrants,2021,Males,49
Akraneskaupstadur,45-54,Natives,2011,Females,241
Akraneskaupstadur,45-54,Natives,2011,Males,213
Akraneskaupstadur,45-54,Natives,2021,Females,169
Akraneskaupstadur,45-54,Natives,2021,Males,174
Akraneskaupstadur,55-64,Immigrants,2011,Females,3
Akraneskaupstadur,55-64,Immigrants,2011,Males,4
Akraneskaupstadur,55-64,Immigrants,2021,Females,18
Akraneskaupstadur,55-64,Immigrants,2021,Males,15
Akraneskaupstadur,55-64,Natives,2011,Females,190
Akraneskaupstadur,55-64,Natives,2011,Males,215
Akraneskaupstadur,55-64,Natives,2021,Females,222
Akraneskaupstadur,55-64,Natives,2021,Males,216
Akraneskaupstadur,65 and over,Immigrants,2011,Females,3
Akraneskaupstadur,65 and over,Immigrants,2011,Males,3
Akraneskaupstadur,65 and over,Immigrants,2021,Females,5
Akraneskaupstadur,65 and over,Immigrants,2021,Males,6
Akraneskaupstadur,65 and over,Natives,2011,Females,245
Akraneskaupstadur,65 and over,Natives,2011,Males,243
Akraneskaupstadur,65 and over,Natives,2021,Females,327
Akraneskaupstadur,65 and over,Natives,2021,Males,376
Akureyrarbaer,0-15,Immigrants,2011,Females,0
Akureyrarbaer,0-15,Immigrants,2011,Males,0
Akureyrarbaer,0-15,Immigrants,2021,Females,0
Akureyrarbaer,0-15,Immigrants,2021,Males,0
Akureyrarbaer,0-15,Natives,2011,Females,6
Akureyrarbaer,0-15,Natives,2011,Males,1
Akureyrarbaer,0-15,Natives,2021,Females,0
Akureyrarbaer,0-15,Natives,2021,Males,0
Akureyrarbaer,16-24,Immigrants,2011,Females,0
Akureyrarbaer,16-24,Immigrants,2011,Males,0
Akureyrarbaer,16-24,Immigrants,2021,Females,0
Akureyrarbaer,16-24,Immigrants,2021,Males,0
Akureyrarbaer,16-24,Natives,2011,Females,2
Akureyrarbaer,16-24,Natives,2011,Males,2
Akureyrarbaer,16-24,Natives,2021,Females,2
Akureyrarbaer,16-24,Natives,2021,Males,1
Akureyrarbaer,25-34,Immigrants,2011,Females,0
Akureyrarbaer,25-34,Immigrants,2011,Males,0
Akureyrarbaer,25-34,Immigrants,2021,Females,1
Akureyrarbaer,25-34,Immigrants,2021,Males,0
Akureyrarbaer,25-34,Natives,2011,Females,3
Akureyrarbaer,25-34,Natives,2011,Males,2
Akureyrarbaer,25-34,Natives,2021,Females,0
Akureyrarbaer,25-34,Natives,2021,Males,0
Akureyrarbaer,35-44,Immigrants,2011,Females,0
Akureyrarbaer,35-44,Immigrants,2011,Males,1
Akureyrarbaer,35-44,Immigrants,2021,Females,0
Akureyrarbaer,35-44,Immigrants,2021,Males,1
Akureyrarbaer,35-44,Natives,2011,Females,2
Akureyrarbaer,35-44,Natives,2011,Males,6
Akureyrarbaer,35-44,Natives,2021,Females,2
Akureyrarbaer,35-44,Natives,2021,Males,1
Akureyrarbaer,45-54,Immigrants,2011,Females,0
Akureyrarbaer,45-54,Immigrants,2011,Males,0
Akureyrarbaer,45-54,Immigrants,2021,Females,0
Akureyrarbaer,45-54,Immigrants,2021,Males,0
Akureyrarbaer,45-54,Natives,2011,Females,5
Akureyrarbaer,45-54,Natives,2011,Males,2
Akureyrarbaer,45-54,Natives,2021,Females,0
Akureyrarbaer,45-54,Natives,2021,Males,2
Akureyrarbaer,55-64,Immigrants,2011,Females,0
Akureyrarbaer,55-64,Immigrants,2011,Males,0
Akureyrarbaer,55-64,Immigrants,2021,Females,0
