Age_Group,Employment_Status,Background,Education,Year,Sex,Population
16-24,Employed,Immigrants,Basic education,2011,Females,664
16-24,Employed,Immigrants,Basic education,2011,Males,592
16-24,Employed,Immigrants,Basic education,2021,Females,718
16-24,Employed,Immigrants,Basic education,2021,Males,953
16-24,Employed,Immigrants,Tertiary education,2011,Females,70
16-24,Employed,Immigrants,Tertiary education,2011,Males,58
16-24,Employed,Immigrants,Tertiary education,2021,Females,80
16-24,Employed,Immigrants,Tertiary education,2021,Males,54
16-24,Employed,Immigrants,Upper secondary education,2011,Females,443
16-24,Employed,Immigrants,Upper secondary education,2011,Males,319
16-24,Employed,Immigrants,Upper secondary education,2021,Females,639
16-24,Employed,Immigrants,Upper secondary education,2021,Males,442
16-24,Employed,Natives,Basic education,2011,Females,6811
16-24,Employed,Natives,Basic education,2011,Males,7357
16-24,Employed,Natives,Basic education,2021,Females,5334
16-24,Employed,Natives,Basic education,2021,Males,6529
16-24,Employed,Natives,Tertiary education,2011,Females,406
16-24,Employed,Natives,Tertiary education,2011,Males,228
16-24,Employed,Natives,Tertiary education,2021,Females,546
16-24,Employed,Natives,Tertiary education,2021,Males,354
16-24,Employed,Natives,Upper secondary education,2011,Females,4981
16-24,Employed,Natives,Upper secondary education,2011,Males,3801
16-24,Employed,Natives,Upper secondary education,2021,Females,5647
16-24,Employed,Natives,Upper secondary education,2021,Males,4215
16-24,Not employed,Immigrants,Basic education,2011,Females,249
16-24,Not employed,Immigrants,Basic education,2011,Males,282
16-24,Not employed,Immigrants,Basic education,2021,Females,653
16-24,Not employed,Immigrants,Basic education,2021,Males,764
16-24,Not employed,Immigrants,Tertiary education,2011,Females,45
16-24,Not employed,Immigrants,Tertiary education,2011,Males,31
16-24,Not employed,Immigrants,Tertiary education,2021,Females,55
16-24,Not employed,Immigrants,Tertiary education,2021,Males,44
16-24,Not employed,Immigrants,Upper secondary education,2011,Females,235
16-24,Not employed,Immigrants,Upper secondary education,2011,Males,208
16-24,Not employed,Immigrants,Upper secondary education,2021,Females,512
16-24,Not employed,Immigrants,Upper secondary education,2021,Males,382
16-24,Not employed,Natives,Basic education,2011,Females,4201
16-24,Not employed,Natives,Basic education,2011,Males,6371
16-24,Not employed,Natives,Basic education,2021,Females,4088
16-24,Not employed,Natives,Basic education,2021,Males,5542
16-24,Not employed,Natives,Tertiary education,2011,Females,119
16-24,Not employed,Natives,Tertiary education,2011,Males,101
16-24,Not employed,Natives,Tertiary education,2021,Females,109
16-24,Not employed,Natives,Tertiary education,2021,Males,90
16-24,Not employed,Natives,Upper secondary education,2011,Females,2210
16-24,Not employed,Natives,Upper secondary education,2011,Males,2258
16-24,Not employed,Natives,Upper secondary education,2021,Females,1855
16-24,Not employed,Natives,Upper secondary education,2021,Males,1820
25-34,Employed,Immigrants,Basic education,2011,Females,775
25-34,Employed,Immigrants,Basic education,2011,Males,775
25-34,Employed,Immigrants,Basic education,2021,Females,1213
25-34,Employed,Immigrants,Basic education,2021,Males,2419
25-34,Employed,Immigrants,Tertiary education,2011,Females,962
25-34,Employed,Immigrants,Tertiary education,2011,Males,619
25-34,Employed,Immigrants,Tertiary education,2021,Females,1813
25-34,Employed,Immigrants,Tertiary education,2021,Males,1531
25-34,Employed,Immigrants,Upper secondary education,2011,Females,1342
25-34,Employed,Immigrants,Upper secondary education,2011,Males,1552
25-34,Employed,Immigrants,Upper secondary education,2021,Females,1398
25-34,Employed,Immigrants,Upper secondary education,2021,Males,1835
25-34,Employed,Natives,Basic education,2011,Females,2184
25-34,Employed,Natives,Basic education,2011,Males,4746
25-34,Employed,Natives,Basic education,2021,Females,1694
25-34,Employed,Natives,Basic education,2021,Males,4265
25-34,Employed,Natives,Tertiary education,2011,Females,6667
25-34,Employed,Natives,Tertiary education,2011,Males,4328
25-34,Employed,Natives,Tertiary education,2021,Females,8150
25-34,Employed,Natives,Tertiary education,2021,Males,5234
25-34,Employed,Natives,Upper secondary education,2011,Females,4050
25-34,Employed,Natives,Upper secondary education,2011,Males,5716
25-34,Employed,Natives,Upper secondary education,2021,Females,4710
25-34,Employed,Natives,Upper secondary education,2021,Males,6778
25-34,Not employed,Immigrants,Basic education,2011,Females,235
25-34,Not employed,Immigrants,Basic education,2011,Males,220
25-34,Not employed,Immigrants,Basic education,2021,Females,886
25-34,Not employed,Immigrants,Basic education,2021,Males,1401
