"Municipality","Age","2011 Natives Males","2011 Natives Females","2011 Immigrants Males","2011 Immigrants Females","2021 Natives Males","2021 Natives Females","2021 Immigrants Males","2021 Immigrants Females"
"Reykjavikurborg","In 1st year",846,835,2,..,878,729,3,4
"Reykjavikurborg","1 years",878,872,4,8,846,751,18,9
"Reykjavikurborg","2 years",905,880,11,10,748,666,32,29
"Reykjavikurborg","3 years",864,781,13,10,674,632,39,42
"Reykjavikurborg","4 years",796,773,23,13,666,657,48,30
"Reykjavikurborg","5 years",757,723,24,26,660,657,58,41
"Reykjavikurborg","6 years",744,725,27,24,691,702,46,45
"Reykjavikurborg","7 years",670,689,22,20,672,751,56,51
"Reykjavikurborg","8 years",672,616,20,16,684,734,53,51
"Reykjavikurborg","9 years",664,632,21,18,717,710,59,49
"Reykjavikurborg","10 years",646,629,31,25,782,750,50,49
"Reykjavikurborg","11 years",677,659,28,40,794,781,47,47
"Reykjavikurborg","12 years",620,632,33,34,778,709,46,55
"Reykjavikurborg","13 years",644,632,42,29,741,709,56,48
"Reykjavikurborg","14 years",675,623,35,33,677,688,57,39
"Reykjavikurborg","15 years",690,670,42,43,706,691,62,45
"Reykjavikurborg","16 years",691,681,44,32,656,671,64,49
"Reykjavikurborg","17 years",746,687,49,46,658,607,56,46
"Reykjavikurborg","18 years",782,752,46,44,634,633,64,65
"Reykjavikurborg","19 years",782,800,59,70,652,625,97,78
"Reykjavikurborg","20 years",817,798,75,59,687,704,116,110
"Reykjavikurborg","21 years",897,923,92,96,681,718,168,164
"Reykjavikurborg","22 years",878,868,98,122,666,724,210,183
"Reykjavikurborg","23 years",921,925,139,150,742,696,241,247
"Reykjavikurborg","24 years",836,772,144,189,741,701,294,288
"Reykjavikurborg","25 years",741,737,149,181,771,706,315,312
"Reykjavikurborg","26 years",703,768,181,173,765,695,399,373
"Reykjavikurborg","27 years",807,759,174,200,823,783,450,331
"Reykjavikurborg","28 years",758,793,177,159,795,762,464,386
"Reykjavikurborg","29 years",826,775,198,210,817,726,476,376
"Reykjavikurborg","30 years",863,721,164,191,854,795,465,383
"Reykjavikurborg","31 years",908,785,195,191,759,708,477,351
"Reykjavikurborg","32 years",833,733,158,168,846,693,443,321
"Reykjavikurborg","33 years",682,641,176,173,695,626,411,315
"Reykjavikurborg","34 years",662,655,143,189,618,595,398,292
"Reykjavikurborg","35 years",741,645,184,168,574,619,405,291
"Reykjavikurborg","36 years",711,665,144,138,661,631,395,285
"Reykjavikurborg","37 years",688,605,137,130,628,706,365,265
"Reykjavikurborg","38 years",709,619,143,138,718,632,326,263
"Reykjavikurborg","39 years",677,683,120,152,733,631,317,261
"Reykjavikurborg","40 years",656,619,131,142,788,691,330,237
"Reykjavikurborg","41 years",579,568,121,104,731,648,295,236
"Reykjavikurborg","42 years",613,613,102,93,610,602,273,209
"Reykjavikurborg","43 years",583,612,98,118,608,597,280,242
"Reykjavikurborg","44 years",609,674,96,106,657,607,287,233
"Reykjavikurborg","45 years",708,713,91,110,625,629,266,182
"Reykjavikurborg","46 years",669,715,103,88,603,581,260,171
"Reykjavikurborg","47 years",703,714,81,87,643,605,227,193
"Reykjavikurborg","48 years",701,711,59,89,647,644,207,210
"Reykjavikurborg","49 years",669,720,77,78,607,559,207,162
"Reykjavikurborg","50 years",662,660,68,73,551,554,214,138
"Reykjavikurborg","51 years",723,691,71,74,593,573,184,146
"Reykjavikurborg","52 years",718,693,56,92,534,592,171,158
"Reykjavikurborg","53 years",696,698,65,59,574,641,170,151
"Reykjavikurborg","54 years",705,698,57,61,677,646,127,141
"Reykjavikurborg","55 years",676,765,60,48,639,667,142,118
"Reykjavikurborg","56 years",648,691,55,48,642,672,125,111
"Reykjavikurborg","57 years",645,673,43,44,661,661,98,109
"Reykjavikurborg","58 years",627,665,35,49,598,679,111,97
"Reykjavikurborg","59 years",615,624,33,40,615,647,87,93
"Reykjavikurborg","60 years",606,664,26,27,662,627,101,85
"Reykjavikurborg","61 years",642,601,28,33,638,651,75,104
"Reykjavikurborg","62 years",575,576,27,22,641,635,96,67
"Reykjavikurborg","63 years",547,548,39,20,616,626,69,67
"Reykjavikurborg","64 years",546,536,26,26,582,676,57,41
"Reykjavikurborg","65 years",497,486,27,17,532,610,62,38
"Reykjavikurborg","66 years",457,489,13,20,545,578,50,49
"Reykjavikurborg","67 years",419,466,10,18,553,596,35,46
"Reykjavikurborg","68 years",398,412,10,16,542,547,31,41
"Reykjavikurborg","69 years",368,435,11,8,526,555,24,28
"Reykjavikurborg","70 years",310,353,8,21,500,497,30,34
"Reykjavikurborg","71 years",276,324,12,17,478,472,22,22
"Reykjavikurborg","72 years",280,322,9,12,455,455,29,17
"Reykjavikurborg","73 years",266,268,5,17,441,427,27,27
"Reykjavikurborg","74 years",249,258,11,14,393,395,24,18
"Reykjavikurborg","75 years",225,279,7,15,351,378,12,19
"Reykjavikurborg","76 years",234,316,3,19,303,377,6,21
"Reykjavikurborg","77 years",247,316,6,11,286,333,8,18
"Reykjavikurborg","78 years",230,313,5,3,280,356,8,13
"Reykjavikurborg","79 years",240,283,..,5,231,290,5,17
"Reykjavikurborg","80 years",225,283,5,7,190,268,12,16
"Reykjavikurborg","81 years",201,321,5,13,217,259,7,13
"Reykjavikurborg","82 years",189,298,2,8,193,205,2,14
"Reykjavikurborg","83 years",168,268,..,5,186,184,5,15
"Reykjavikurborg","84 years",187,250,3,11,132,215,3,11
"Reykjavikurborg","85 years",135,262,2,10,136,198,2,16
"Reykjavikurborg","86 years",123,213,1,10,118,210,1,9
"Reykjavikurborg","87 years",92,184,..,4,123,181,2,3
"Reykjavikurborg","88 years",105,191,1,5,117,173,..,4
"Reykjavikurborg","89 years",82,149,1,4,103,144,4,5
"Reykjavikurborg","90 years",53,141,1,12,72,175,4,5
"Reykjavikurborg","91 years",51,97,..,6,62,145,..,5
"Reykjavikurborg","92 years",31,69,2,6,52,101,1,2
"Reykjavikurborg","93 years",28,70,1,..,47,88,..,7
"Reykjavikurborg","94 years",20,44,1,..,29,84,1,2
"Reykjavikurborg","95 years",15,35,..,2,19,48,..,3
"Reykjavikurborg","96 years",5,29,..,..,12,35,1,1
"Reykjavikurborg","97 years",5,14,..,..,6,29,..,..
"Reykjavikurborg","98 years",2,12,..,1,10,15,1,1
"Reykjavikurborg","99 years",1,4,..,1,3,11,..,3
"Reykjavikurborg","100 years",..,12,..,..,2,6,..,1
